donem,para_birimi,kapanis_kuru,ortalama_kur,butce_kuru,kaynak
2025-01,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-01,TRY,0.02717391,0.02747253,0.02631579,TCMB (demo değeri)
2025-01,GBP,1.19200000,1.19500000,1.19500000,ECB (demo değeri)
2025-02,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-02,TRY,0.02659574,0.02688172,0.02631579,TCMB (demo değeri)
2025-02,GBP,1.20100000,1.19700000,1.19500000,ECB (demo değeri)
2025-03,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-03,TRY,0.02538071,0.02597403,0.02631579,TCMB (demo değeri)
2025-03,GBP,1.20800000,1.20500000,1.19500000,ECB (demo değeri)
2025-04,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-04,TRY,0.02439024,0.02487562,0.02631579,TCMB (demo değeri)
2025-04,GBP,1.19600000,1.20100000,1.19500000,ECB (demo değeri)
2025-05,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-05,TRY,0.02364066,0.02400960,0.02631579,TCMB (demo değeri)
2025-05,GBP,1.18500000,1.19000000,1.19500000,ECB (demo değeri)
2025-06,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-06,TRY,0.02293578,0.02328289,0.02631579,TCMB (demo değeri)
2025-06,GBP,1.19000000,1.18700000,1.19500000,ECB (demo değeri)
2025-07,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-07,TRY,0.02217295,0.02254791,0.02631579,TCMB (demo değeri)
2025-07,GBP,1.20300000,1.19700000,1.19500000,ECB (demo değeri)
2025-08,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-08,TRY,0.02155172,0.02185792,0.02631579,TCMB (demo değeri)
2025-08,GBP,1.21100000,1.20700000,1.19500000,ECB (demo değeri)
2025-09,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-09,TRY,0.02105263,0.02129925,0.02631579,TCMB (demo değeri)
2025-09,GBP,1.19900000,1.20500000,1.19500000,ECB (demo değeri)
2025-10,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-10,TRY,0.02057613,0.02081165,0.02631579,TCMB (demo değeri)
2025-10,GBP,1.18800000,1.19300000,1.19500000,ECB (demo değeri)
2025-11,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-11,TRY,0.02020202,0.02038736,0.02631579,TCMB (demo değeri)
2025-11,GBP,1.19400000,1.19100000,1.19500000,ECB (demo değeri)
2025-12,EUR,1.000000,1.000000,1.00000000,Sunum para birimi
2025-12,TRY,0.01976285,0.01998002,0.02631579,TCMB (demo değeri)
2025-12,GBP,1.20500000,1.20000000,1.19500000,ECB (demo değeri)
2018-12,TRY,1.00000000,1.00000000,1.00000000,profil_olustur (elle doğrulayın)
